Summer_Alleghany_1	Summer_Braddock_1	Summer_Braddock_2	Summer_Monongahela_1	Summer_Neville_1	Summer_Neville_2	Summer_Sharpsburg_1	Summer_Sharpsburg_2
0.000	0.587	0.605	0.556	0.530	0.616	0.505	0.502
0.587	0.000	0.387	0.426	0.384	0.463	0.594	0.590
0.605	0.387	0.000	0.429	0.499	0.559	0.705	0.703
0.556	0.426	0.429	0.000	0.430	0.509	0.590	0.601
0.530	0.384	0.499	0.430	0.000	0.427	0.463	0.510
0.616	0.463	0.559	0.509	0.427	0.000	0.489	0.491
0.505	0.594	0.705	0.590	0.463	0.489	0.000	0.329
0.502	0.590	0.703	0.601	0.510	0.491	0.329	0.000
